afternoontea_official,1421124410,general store
ambush_official,427083368,fashion
beams_official,570381188,fashion
canmaketokyo,2952194259,cosmetic
commedesgarcons,1680276293,fashion
converse_jp,1542351819,fashion
crisp_official,1557097975,fashion
dhc_official_jp,4011033387,cosmetic
drwcys_official,1111230299,fashion
gelatopique_official,1539202809,fashion
honeymihoney_official,447026764,fashion
ingnistore,1710265636,fashion
jillbyjillstuart_official,4675954669,fashion
katespadejapan,210822549,fashion
kenzo,181303532,fashion
maisondefleur_press,1691395624,fashion
mystywoman_com,281779446,fashion
naturalbeautybasic_official,1478638855,fashion
neighborhood_official,1171493658,fashion
pageboy_pr,315355323,fashion
paravion_official,2257159525,fashion
paulandjoe_beaute,1991505294,cosmetic
sacaiofficial,1012008761,fashion
samantha.thavasa_official,5321362106,fashion
samantha.thavasa.petit.choice,3728868485,fashion
samantha.vega_official,5650842257,fashion
sanrio_ec_official,4204999473,general store
togaarchives,808245365,fashion
undercover_lab,1083172226,fashion
vansjapan,1957717891,fashion
wacoal.jp,2302143191,fashion
yohjiyamamotoofficial,1649708053,other
cliniquejp,1542331433,cosmetic
johnmastersorganics_japan,1579068539,cosmetic
houseofrose.jp,3446885802,cosmetic
feiler_jp,2088401900,general store
loccitane_jp,5811790602,cosmetic
blueblackcb,2234125124,fashion
paulsmithjapan,6267708431,fashion
ipsa_jp,2946586863,cosmetic
esteelauderjapan,7544689724,cosmetic
guerlainjp,2119486654,cosmetic
suqqu_official,1982523121,cosmetic
vendomeaoyama_official,1951762598,fashion
new_balance_japan,1391639570,fashion
23ku_official,2134257647,fashion
cuoca_official,2217406476,general store
fancl_official,2065837559,cosmetic
pellico_japan,2044760640,fashion
gshock_jp,1340311115,fashion
tomorrowland_jp,812478961,fashion
adore_jp,2215942934,fashion
incocojapan,1520797951,other
cocacola_japan,1287864840,food
adidastokyo,2242065879,fashion
kiddyland_co.jp,5453454195,other
brooksbrothersjapan,1958623137,fashion
miharayasuhiro_official,1031717427,fashion
petitbateau_jp,8161611069,fashion
keitamaruyama_official,1832731468,fashion
panasonic_beauty,2156744974,other
junyawatanabeofficial,4111999588,fashion
tachikichi_kyoto,5912307694,other
zwilling_japan,4611486808,other
ayura.official,3884027662,cosmetic
mezzopiano_official,3310703272,fashion
treeoflife_official,4545365299,cosmetic
pierre_marcolini_japan,3246193846,food
morozoff_sp,3234343631,food
ludlow_official,5589294865,fashion
de_limmo,1697912823,food
filmelange_official,1565558040,fashion
hobbyra_hobbyre,4783258212,general store
asknowas_official,2724052954,fashion
kanesada_nelicatessen,8184207387,food
jalansriwijaya_japan,2236736647,fashion
godiva_japan,3419759662,food
hotelnewotanitokyo,2208747471,other
memnon_tokyo,4559252,cosmetic
kikkoman.jp,6067644199,food
lecoqsportif_jp,1639469225,fashion
